"","Lark_ID","firstInterval","firstDet","site","Count_Date","Start_Time","dayOfYear","surveyYear","Interval_1","Interval_2","Interval_3","Interval_4","Interval_5","Interval_6","Interval_7","Interval_8","Interval_9","Interval_10","Interval_11","Interval_12"
"137",NA,NA,NA,"1769",2025-06-04,6H 28M 0S,155,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",NA,NA,NA,"1428",2025-06-04,6H 47M 0S,155,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",NA,NA,NA,"550",2025-06-04,5H 39M 0S,155,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",NA,NA,NA,"5452",2025-06-12,6H 22M 0S,163,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",NA,NA,NA,"984",2025-06-12,6H 47M 0S,163,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",NA,NA,NA,"4867",2025-06-12,7H 44M 0S,163,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",NA,NA,NA,"5500",2025-06-12,8H 25M 0S,163,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",NA,NA,NA,"2837",2025-06-12,9H 3M 0S,163,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",NA,NA,NA,"700",2025-06-12,9H 27M 0S,163,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",NA,NA,NA,"3232",2025-05-14,6H 52M 0S,134,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",NA,NA,NA,"2584",2025-05-14,7H 17M 0S,134,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",NA,NA,NA,"2580",2025-05-14,6H 33M 0S,134,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",NA,NA,NA,"3213",2025-05-14,6H 4M 0S,134,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",NA,NA,NA,"4492",2025-05-20,7H 58M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",NA,NA,NA,"3086",2025-05-20,8H 58M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",NA,NA,NA,"4197",2025-05-20,7H 12M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",NA,NA,NA,"4493",2025-05-20,7H 34M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",NA,NA,NA,"4195",2025-05-20,6H 34M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",NA,NA,NA,"4196",2025-05-20,6H 51M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",NA,NA,NA,"4273",2025-05-20,6H 13M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",NA,NA,NA,"3791",2025-05-20,5H 37M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",NA,NA,NA,"3988",2025-05-20,9H 23M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",NA,NA,NA,"2989",2025-05-20,9H 46M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
